name,smiles,oxygen,hydrogen,ocratio,hcratio
ACETC2CO2H,OC(=O)CCOC(=O)C,5.0,7.0,0.4166666666666667,0.5833333333333334
C917NO3,O=C1CCC(=O)C(C1)C(C)(C)ON(=O)=O,3.0,13.0,0.1875,0.8125
METHACETO2,CC(=O)OCO[O],4.0,5.0,0.4444444444444444,0.5555555555555556
C44O,O=CCC([O])C(=O)O,4.0,4.0,0.5,0.5
C620OH,O=CCC(=O)C(O)CC=O,4.0,7.0,0.36363636363636365,0.6363636363636364
C711O2,CC(O)(CC(=O)CO[O])CC,3.0,12.0,0.2,0.8
CNO3OCL,ClC(=O)CON(=O)=O,2.0,2.0,0.5,0.5
NEBNZOLOOH,CCC12OOC(C2ON(=O)=O)C(O)(OO)C=C1,5.0,9.0,0.35714285714285715,0.6428571428571429
C514O2,O=CCC(O[O])CC=O,3.0,7.0,0.3,0.7
NPETOLOH,CCC12OOC(C(=CC2(O)O)C)C1ON(=O)=O,5.0,11.0,0.3125,0.6875
C731OOH,OOCCC(CC=O)C(=O)C,3.0,11.0,0.21428571428571427,0.7857142857142857
IC3H7O,CC(C)[O],1.0,7.0,0.125,0.875
HO2C54O,CC(O)CC(C)[O],2.0,10.0,0.16666666666666666,0.8333333333333334
C42O2,[O]OC(CON(=O)=O)C(O)C=O,4.0,5.0,0.4444444444444444,0.5555555555555556
NC524OOH,OCC(ON(=O)=O)C(CO)(CO)OO,5.0,7.0,0.4166666666666667,0.5833333333333334
C51NO324CO,CC(=O)CC(=O)CON(=O)=O,3.0,7.0,0.3,0.7
C62NO335CO,CC(=O)CC(=O)C(C)ON(=O)=O,3.0,9.0,0.25,0.75
C1011O,CC(=O)CCC1C([O])CC1(C)C,2.0,17.0,0.10526315789473684,0.8947368421052632
C925OOH,OCC(CC(=O)C(=O)C)C(C)(CO)OO,5.0,13.0,0.2777777777777778,0.7222222222222222
H14CO23C4,OCC(=O)C(=O)CO,4.0,4.0,0.5,0.5
C624CO,CC(=C)C(=O)CCO,2.0,9.0,0.18181818181818182,0.8181818181818182
T124CAT1O2,[O]Oc1c(C)c(C)cc(C)c1O,2.0,10.0,0.16666666666666666,0.8333333333333334
CO24M3C5,CC(=O)C(C)C(=O)C,2.0,10.0,0.16666666666666666,0.8333333333333334
H3C2C4CO2H,OC(=O)CC(O)C(=O)C,4.0,6.0,0.4,0.6
CO2C4CHO,O=CCCC(=O)C,2.0,8.0,0.2,0.8
MIBKBOOH,OOC(C(C)C)C(=O)C,2.0,11.0,0.15384615384615385,0.8461538461538461
NPETLQO2,CCC1=CC(=O)C(C)(O[O])C(ON(=O)=O)C1=O,4.0,10.0,0.2857142857142857,0.7142857142857143
HC4CO3,CC(=C)C(C(=O)O[O])O,3.0,6.0,0.3333333333333333,0.6666666666666666
C6H5OOH,OOc1ccccc1,1.0,5.0,0.16666666666666666,0.8333333333333334
C3MDIALO,O=CC(C)([O])C=O,3.0,5.0,0.375,0.625
HEPTO2,CCCCC(CC)O[O],1.0,15.0,0.0625,0.9375
PXYMUCNO3,O=CC1OC1(C)C(O)C(ON(=O)=O)C(=O)C,6.0,10.0,0.375,0.625
H13C43CO3,OCCC(C)(O)C(=O)O[O],4.0,7.0,0.36363636363636365,0.6363636363636364
CHOC4PAN,O=CCCCCC(=O)OON(=O)=O,3.0,9.0,0.25,0.75
C624NO3,[O-][N+](=O)OC(CCO)C(=C)C,2.0,10.0,0.16666666666666666,0.8333333333333334
CO25C74OOH,OOC(CC(=O)C)C(=O)CC,3.0,11.0,0.21428571428571427,0.7857142857142857
C514O,O=CCC([O])CC=O,3.0,7.0,0.3,0.7
C1010OOH,O=CCCC(=C)C(=O)CC(C)(C)OO,3.0,15.0,0.16666666666666666,0.8333333333333334
DIIPRETOH,CC(C)OC(C)(C)O,3.0,13.0,0.1875,0.8125
ME2BUOLO,CC(O)C(C)(C)[O],2.0,10.0,0.16666666666666666,0.8333333333333334
C4MCODBCO2,CC(=O)C=C(C)C(=O)[O],3.0,7.0,0.3,0.7
C4MCODBCO3,CC(=CC(=O)C)C(=O)O[O],3.0,7.0,0.3,0.7
C46PAN,[O-][N+](=O)OOC(=O)C(=C)CCO,3.0,6.0,0.3333333333333333,0.6666666666666666
TMB2FUOOH,OOC1(C)C(=O)OC(C)C1(C)O,5.0,10.0,0.3333333333333333,0.6666666666666666
MIBKHO4O,[O]CC(=O)CC(C)(C)O,3.0,10.0,0.23076923076923078,0.7692307692307693
CL2OHCH2O,[O]CC(O)(Cl)Cl,2.0,2.0,0.5,0.5
H3C25CCO3H,OOC(=O)CC(=O)CC(O)C(=O)C,5.0,8.0,0.38461538461538464,0.6153846153846154
ETBEAOH,CCOC(C)(C)CO,3.0,13.0,0.1875,0.8125
C126NO3,O=CCC1C(CC1(C)C)C(=C)CCO[N+](=O)[O-],2.0,19.0,0.09523809523809523,0.9047619047619048
ETBEAO2,CCOC(C)(C)CO[O],3.0,13.0,0.1875,0.8125
HM22C4O,[O]CCC(C)(C)CO,2.0,12.0,0.14285714285714285,0.8571428571428571
C823OOH,OOCC(CCC(=O)O)C(=C)C,3.0,12.0,0.2,0.8
C616O2,O=CCCC(=O)C(O[O])C=O,4.0,7.0,0.36363636363636365,0.6363636363636364
C88OOH,OOC1C(=O)CCC(=O)C1(C)C,3.0,11.0,0.21428571428571427,0.7857142857142857
C1013CO2H,COC(=O)CCC1C(CC1(C)C)C(=O)O,5.0,17.0,0.22727272727272727,0.7727272727272727
DIIPRETO2,[O]OC(C)(C)OC(C)C,3.0,13.0,0.1875,0.8125
M2BKAOOH,OOC(C)C(C)C(=O)C,2.0,11.0,0.15384615384615385,0.8461538461538461
MMALANHY,O=C1C=C(C)C(=O)O1,4.0,4.0,0.5,0.5
C312COCO3H,OOC(=O)CC(=O)C=O,4.0,3.0,0.5714285714285714,0.42857142857142855
MEK2OO,[O-][O+]=C(C)C(=O)C,2.0,6.0,0.25,0.75
C7EDCOOH,OOC(C(=O)C)C(O)C(=O)CC,4.0,10.0,0.2857142857142857,0.7142857142857143
NMXYQO2,[O]OC1(C)C(ON(=O)=O)C(=O)C=C(C)C1=O,4.0,8.0,0.3333333333333333,0.6666666666666666
PXYL1O2,[O]Oc1ccc(C)cc1,1.0,7.0,0.125,0.875
C827OOH,OOC(C)(C)C(=O)CCC(=O)C,3.0,13.0,0.1875,0.8125
NDNPBZLOOH,CCCC12OOC(C=C(N(=O)=O)C2(O)OO)(N(=O)=O)C1ON(=O)=O,5.0,9.0,0.35714285714285715,0.6428571428571429
CO23C5,CCC(=O)C(=O)C,2.0,8.0,0.2,0.8
CO23C6,CCCC(=O)C(=O)C,2.0,10.0,0.16666666666666666,0.8333333333333334
TOL1O,Cc1ccccc1[O],1.0,7.0,0.125,0.875
CH3SOO2,CS(=O)O[O],0.0,3.0,0.0,1.0
IPROPOLPER,OOC(=O)C(C)O,3.0,4.0,0.42857142857142855,0.5714285714285714
NDNPETLOOH,CCC12OOC(N(=O)=O)(C(=C(N(=O)=O)C2(O)OO)C)C1ON(=O)=O,5.0,9.0,0.35714285714285715,0.6428571428571429
C61O,CC(=O)CC([O])C(C)O,3.0,10.0,0.23076923076923078,0.7692307692307693
C3NO3COOOH,OOCC(=O)CON(=O)=O,3.0,4.0,0.42857142857142855,0.5714285714285714
C1312O,O=CCCC(=C)C(=O)CC(C)(C)C([O])CCO,4.0,20.0,0.16666666666666666,0.8333333333333334
PROL1MCO3,CC(O)(CC)C(=O)O[O],3.0,8.0,0.2727272727272727,0.7272727272727273
CH3CHOHCHO,CC(O)C=O,2.0,5.0,0.2857142857142857,0.7142857142857143
C78O,CC(=O)C([O])CC(C)(C)O,3.0,12.0,0.2,0.8
MNO3COC4O,CCC([O])CC(=O)CON(=O)=O,3.0,10.0,0.23076923076923078,0.7692307692307693
BZEMUCCO3H,OOC(=O)C1OC1C=CC=O,5.0,5.0,0.5,0.5
MACRNB,O=CC(C)(O)CON(=O)=O,3.0,6.0,0.3333333333333333,0.6666666666666666
COHM2CO3H,CC(O)(C=O)C(=O)OO,4.0,4.0,0.5,0.5
TL4OHNO2O2,[O]OC1(O)C(=CC2(C)OOC1C2O)N(=O)=O,5.0,6.0,0.45454545454545453,0.5454545454545454
PHIC3O,CC(C)([O])c1ccccc1,1.0,11.0,0.08333333333333333,0.9166666666666666
OTNCATECO,CCC1=C(O)C([O])(O)C2(OOC1(C)C2O)N(=O)=O,6.0,9.0,0.4,0.6
OTNCATECH,CCc1c(C)cc(N(=O)=O)c(O)c1O,2.0,9.0,0.18181818181818182,0.8181818181818182
DM124O,[O]c1ccc(C)c(C)c1,1.0,9.0,0.1,0.9
PTCATEC1O,CCc1ccc(C)c(O)c1[O],2.0,10.0,0.16666666666666666,0.8333333333333334
DMMBO2,COC(OC)O[O],5.0,7.0,0.4166666666666667,0.5833333333333334
MTBKNO3,O=N(=O)OCC(C)(C)C(=O)C,2.0,11.0,0.15384615384615385,0.8461538461538461
NISOPNO3,CC(=CCON(=O)=O)CON(=O)=O,2.0,8.0,0.2,0.8
HNC524CO,OCC(ON(=O)=O)C(O)(CO)C=O,5.0,6.0,0.45454545454545453,0.5454545454545454
C720O,CC1=CCC([O])CC1O,2.0,10.0,0.16666666666666666,0.8333333333333334
C139NO3,OCCC(=C)C1(OO[N+](=O)[O-])CC(C)(C)C1CCC(=O)O,4.0,19.0,0.17391304347826086,0.8260869565217391
H3M3C5CHO,CC(O)(CCC=O)CC,2.0,13.0,0.13333333333333333,0.8666666666666667
C5ONO34OOH,OOC(C)C(ON(=O)=O)C(=O)C,3.0,8.0,0.2727272727272727,0.7272727272727273
IPECO,CCC(C)(C)[O],1.0,11.0,0.08333333333333333,0.9166666666666666
IPROACET,CC(C)OC(=O)C,3.0,10.0,0.23076923076923078,0.7692307692307693
HODMSO2,[O]OS(C)(C)O,0.0,6.0,0.0,1.0
NMXYOL1O2,[O]Oc1c(C)cc(C)cc1N(=O)=O,1.0,8.0,0.1111111111111111,0.8888888888888888
METLOBPROH,CCC12OOC(C)(C=CC1=O)C2O,4.0,11.0,0.26666666666666666,0.7333333333333333
DMMBOH,COC(O)OC,5.0,7.0,0.4166666666666667,0.5833333333333334
NPHENOOH,OOC1(O)C=CC2OOC1C2ON(=O)=O,5.0,5.0,0.5,0.5
SBUACONEO,CC(=O)OC(C)([O])C(=O)C,5.0,9.0,0.35714285714285715,0.6428571428571429
HO1C3O2,OCCCO[O],2.0,6.0,0.25,0.75
C57NO3,OCC(O)C(C)(C=O)ON(=O)=O,4.0,7.0,0.36363636363636365,0.6363636363636364
C1313NO3,O=CCCC(CO)(O[N+](=O)[O-])C1CC(C)(C)C1CC=O,4.0,20.0,0.16666666666666666,0.8333333333333334
HEXBOH,CCCCC(C)O,1.0,13.0,0.07142857142857142,0.9285714285714286
M3HEXAO2,CCC(C)CC(C)O[O],1.0,15.0,0.0625,0.9375
ETOHOCHO,OCCOC=O,4.0,5.0,0.4444444444444444,0.5555555555555556
C51CO2H,OC(=O)CC(C)C(=O)C,3.0,9.0,0.25,0.75
C117NO3,OCCC(=O)C1(O[N+](=O)[O-])CC(C)(C)C1CC=O,4.0,16.0,0.2,0.8
C112O,CCCCCCC(O)CC(=O)C(C)[O],3.0,20.0,0.13043478260869565,0.8695652173913043
BCALBCO,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)C=O,3.0,22.0,0.12,0.88
IPBZMUCOH,O=CC1OC1C(O)C(O)C(=O)C(C)C,6.0,12.0,0.3333333333333333,0.6666666666666666
C9M2CO6OH,CCC(=O)C=C(C)C(O)C(=O)CC,3.0,15.0,0.16666666666666666,0.8333333333333334
H3M3C5NO3,CCC(C)(O)CCON(=O)=O,2.0,12.0,0.14285714285714285,0.8571428571428571
C152OOH,O=CCCC(CO)(OO)C1CC(C)(C)C1CCC(=O)OC,6.0,24.0,0.2,0.8
CO235C6CHO,O=CCC(=O)CC(=O)C(=O)C,4.0,8.0,0.3333333333333333,0.6666666666666666
NPHENO,O=N(=O)OC1C2OOC1C([O])(O)C=C2,5.0,5.0,0.5,0.5
C3PAN2,O=CCC(=O)OON(=O)=O,3.0,3.0,0.5,0.5
C3PAN1,OCCC(=O)OON(=O)=O,3.0,4.0,0.42857142857142855,0.5714285714285714
IPBZMUCO2,O=CC1OC1C(O)C(O[O])C(=O)C(C)C,6.0,12.0,0.3333333333333333,0.6666666666666666
NBUTOLBO,OCCC(C)[O],2.0,8.0,0.2,0.8
HO13C3CO3H,OCCC(O)C(=O)OO,4.0,5.0,0.4444444444444444,0.5555555555555556
PE1ENEBO2,CCCC(O)CO[O],2.0,10.0,0.16666666666666666,0.8333333333333334
C82OOH,CCC(=O)CC(OO)C(O)CC,3.0,14.0,0.17647058823529413,0.8235294117647058
HEXBO2,CC(CCCC)O[O],1.0,13.0,0.07142857142857142,0.9285714285714286
M3HEXAOH,CCC(C)CC(C)O,1.0,15.0,0.0625,0.9375
C716OOH,O=CCC(=O)CC(OO)C(=O)C,4.0,9.0,0.3076923076923077,0.6923076923076923
HMVKBO,CC(=O)C([O])CO,3.0,6.0,0.3333333333333333,0.6666666666666666
C83COOHOOH,CCCC(=O)C(OO)C(O)C(=O)C=O,5.0,10.0,0.3333333333333333,0.6666666666666666
CH3NO3,CON(=O)=O,1.0,3.0,0.25,0.75
EPXMC4DIAL,O=CC1OC1(C)C=O,4.0,6.0,0.4,0.6
MTBEBOH,OCC(C)(C)OC,3.0,11.0,0.21428571428571427,0.7857142857142857
HMVKANO3,O=N(=O)OCC(O)C(=O)C,3.0,6.0,0.3333333333333333,0.6666666666666666
CO2OH3MPAN,O=N(=O)OOC(=O)C(C)(O)C(=O)C,4.0,6.0,0.4,0.6
NC4IPDCO2,O=CC(=C(C(C)C)C(=O)[O])N(=O)=O,3.0,8.0,0.2727272727272727,0.7272727272727273
HOACETETO2,[O]OC(C)OC(=O)CO,5.0,6.0,0.45454545454545453,0.5454545454545454
C151OH,OCC(O)(CCC(=O)O)C1CC(C)(C)C1CCC(=O)C,5.0,23.0,0.17857142857142858,0.8214285714285714
C151O2,OCC(O[O])(CCC(=O)O)C1CC(C)(C)C1CCC(=O)C,5.0,23.0,0.17857142857142858,0.8214285714285714
ISOPCO2,[O]OC/C(=C/CO)/C,2.0,8.0,0.2,0.8
NC4OHCO3,[O]OC(=O)C(ON(=O)=O)C(C)(C)O,4.0,7.0,0.36363636363636365,0.6363636363636364
C629OOH,OCCC(OO)(C=O)C(=O)C,4.0,8.0,0.3333333333333333,0.6666666666666666
BPINBO2,[O]OCC1(O)CCC2CC1C2(C)C,2.0,16.0,0.1111111111111111,0.8888888888888888
MIBKCOOHO2,CC(O)(CO[O])C(=O)C(=O)C,4.0,8.0,0.3333333333333333,0.6666666666666666
H2M2C4CO2H,OC(=O)CCC(C)(C)O,3.0,10.0,0.23076923076923078,0.7692307692307693
C134O,OCCC(=O)C(=O)C([O])C(C)(C)C(=O)CCC(=O)C,6.0,18.0,0.25,0.75
C817CO3,[O]OC(=O)CC(CCC(=O)C)C(=O)C,4.0,13.0,0.23529411764705882,0.7647058823529411
MTBEBO2,[O]OCC(C)(C)OC,3.0,11.0,0.21428571428571427,0.7857142857142857
C917O,O=C1CCC(=O)C(C1)C(C)(C)[O],3.0,13.0,0.1875,0.8125
ACPRONEOH,CC(=O)OC(O)C(=O)C,5.0,7.0,0.4166666666666667,0.5833333333333334
DMC,COC(=O)OC,5.0,6.0,0.45454545454545453,0.5454545454545454
C920CO3H,OOC(=O)CC1CC(C(=O)CO)C1(C)C,4.0,14.0,0.2222222222222222,0.7777777777777778
LIMCOH,OCC(C)(O)C1CCC(=CC1)C,2.0,16.0,0.1111111111111111,0.8888888888888888
IPRBQONE,O=C1C=CC(=O)C(=C1)C(C)C,2.0,10.0,0.16666666666666666,0.8333333333333334
MO2EOLB2OH,OCOCCO,4.0,6.0,0.4,0.6
C7M3CO,CC(=O)C=C(C)C(=O)C(=O)C,3.0,10.0,0.23076923076923078,0.7692307692307693
DMM,COCOC,4.0,8.0,0.3333333333333333,0.6666666666666666
DMS,CSC,0.0,6.0,0.0,1.0
C6PAN20,O=N(=O)OOC(=O)CC(O)C(C)C,3.0,10.0,0.23076923076923078,0.7692307692307693
C71O2,CCC(O)CC(=O)C(C)O[O],3.0,12.0,0.2,0.8
PXYFUOOH,OOC1(C)C(O)COC1=O,5.0,6.0,0.45454545454545453,0.5454545454545454
C735OOA,O=CCC(CC=O)C(=[O+][O-])C,3.0,10.0,0.23076923076923078,0.7692307692307693
MO2EOLBO,[O]COCCO,4.0,6.0,0.4,0.6
C735OOH,O=CCC(OO)(CC=O)C(=O)C,4.0,9.0,0.3076923076923077,0.6923076923076923
ACPRONEO2,[O]OC(OC(=O)C)C(=O)C,5.0,7.0,0.4166666666666667,0.5833333333333334
CATEC1O,[O]c1ccccc1O,2.0,4.0,0.3333333333333333,0.6666666666666666
LIMCO2,OCC(C)(O[O])C1CCC(=CC1)C,2.0,16.0,0.1111111111111111,0.8888888888888888
C8M2CO6OH,CCC(=O)C=C(C)C(O)C(=O)C,3.0,13.0,0.1875,0.8125
TM123BO,[O]Cc1cccc(C)c1C,1.0,11.0,0.08333333333333333,0.9166666666666666
PETCATECH,CCc1ccc(C)c(O)c1O,2.0,10.0,0.16666666666666666,0.8333333333333334
CO25C6CO2H,CC(=O)CCC(=O)CC(=O)O,4.0,9.0,0.3076923076923077,0.6923076923076923
NDNT124LO,O=N(=O)OC1(C)C2(OOC1(C)C([O])(O)C(=C2C)N(=O)=O)N(=O)=O,5.0,9.0,0.35714285714285715,0.6428571428571429
PETLMUCO2H,CC1(OC1C(=O)O)C=CC(=O)CC,5.0,11.0,0.3125,0.6875
C88PAN,O=N(=O)OOC(=O)C1C(=O)CCC(=O)C1(C)C,4.0,11.0,0.26666666666666666,0.7333333333333333
BIACETO,CC(=O)C(=O)C[O],3.0,5.0,0.375,0.625
ACEC2CHO,O=CCCOC(=O)C,4.0,8.0,0.3333333333333333,0.6666666666666666
C822PAN,O=CCC(CCC(=O)OO[N+](=O)[O-])C(=C)C,3.0,13.0,0.1875,0.8125
C89NO3,O=CCC1CC(ON(=O)=O)C1(C)C,2.0,13.0,0.13333333333333333,0.8666666666666667
C720OH,CC1=CCC(O)CC1O,2.0,10.0,0.16666666666666666,0.8333333333333334
C121OOH,CCCCCCCC(OO)CC(=O)CC,2.0,23.0,0.08,0.92
BCALBOOH,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)COO,3.0,23.0,0.11538461538461539,0.8846153846153846
C5MDICARB,O=CC(=CC(=O)C)C,2.0,8.0,0.2,0.8
C720O2,[O]OC1CC=C(C)C(O)C1,2.0,10.0,0.16666666666666666,0.8333333333333334
MCATECHOL,Oc1c(C)cccc1O,2.0,6.0,0.25,0.75
C1011CO3H,OOC(=O)C1CC(C)(C)C1CCC(=O)C,3.0,17.0,0.15,0.85
C617PAN,O=CC(C)(C)C(=O)CC(=O)OON(=O)=O,4.0,9.0,0.3076923076923077,0.6923076923076923
PENT1ENE,CCCC=C,0.0,10.0,0.0,1.0
PGAOOB,[O-][O+]=CCOO,2.0,3.0,0.4,0.6
LIMALACO,O=CCC(CC(=O)C(=O)C)C(=C)C,3.0,14.0,0.17647058823529413,0.8235294117647058
C8M2CO6O2,[O]OC(C(=O)C)C(=CC(=O)CC)C,3.0,13.0,0.1875,0.8125
MOCOCH2OOH,OOCC(=O)OC,4.0,5.0,0.4444444444444444,0.5555555555555556
HO1C5OOH,OCCCC(C)OO,2.0,10.0,0.16666666666666666,0.8333333333333334
NC623O,OCC(C=O)C(C)([O])CO[N+](=O)[O-],4.0,9.0,0.3076923076923077,0.6923076923076923
LIMBOOH,OOC1CC(CCC1(C)O)C(=C)C,2.0,16.0,0.1111111111111111,0.8888888888888888
CH3SCH2O,CSC[O],1.0,5.0,0.16666666666666666,0.8333333333333334
CHOC4CO3H,O=CCCCCC(=O)OO,3.0,9.0,0.25,0.75
C733OOH,OCCC(C(=O)C)C(OO)C=O,4.0,10.0,0.2857142857142857,0.7142857142857143
C78O2,[O]OC(CC(C)(C)O)C(=O)C,3.0,12.0,0.2,0.8
C815CO2OOH,CCCC(=O)C=CC(OO)C=O,3.0,11.0,0.21428571428571427,0.7857142857142857
MC3CODBCO3,CC(=CC=O)C(=O)O[O],3.0,5.0,0.375,0.625
MC3CODBCO2,O=CC=C(C)C(=O)[O],3.0,5.0,0.375,0.625
H2M3C4O,[O]CC(C)C(C)O,2.0,10.0,0.16666666666666666,0.8333333333333334
C42O,O=CC(O)C([O])CON(=O)=O,4.0,5.0,0.4444444444444444,0.5555555555555556
C918CO3H,OOC(=O)C1(O)CCC2CC1C2(C)C,3.0,14.0,0.17647058823529413,0.8235294117647058
DM23BU2ENE,CC(=C(C)C)C,0.0,12.0,0.0,1.0
ETBEANO3,CCOC(C)(C)CON(=O)=O,3.0,13.0,0.1875,0.8125
HO2C6OOH,OOC(C)CCC(C)O,2.0,12.0,0.14285714285714285,0.8571428571428571
C78OH,CC(=O)C(O)CC(C)(C)O,3.0,12.0,0.2,0.8
NOPINCO,O=C1CCC2([O])CC1C2(C)C,2.0,13.0,0.13333333333333333,0.8666666666666667
DNPHEN,O=N(=O)c1ccc(O)c(c1)N(=O)=O,1.0,3.0,0.25,0.75
TM135BPNO3,O=N(=O)OC1C(=CC2(C)OOC1(C)C2O)C,4.0,12.0,0.25,0.75
MIBKAOH3CO,CC(=O)C(=O)C(C)(C)O,3.0,9.0,0.25,0.75
MXYBIPERO,[O]C1C=CC2(C)OOC1(C)C2O,4.0,10.0,0.2857142857142857,0.7142857142857143
HO3C6O,[O]CCCC(O)CC,2.0,12.0,0.14285714285714285,0.8571428571428571
M33C4O2,[O]OCC(C)(C)CC,1.0,13.0,0.07142857142857142,0.9285714285714286
