name,smiles,PeroxyAlkyl(RO2),PeroxyAcid(RCO3),Alcoxy(RO),Alcohol(C-H),Unsaturated(>C=C<),Aldehyde(-CHO),Carbonyl(>C=O),Nitrate(-ONO2),HydroPeroxide(-OOH),PAN(-C(O)OONO2)
C6PAN21,CCC(C)(O)CC(=O)OON(=O)=O,0,0,0,2,0,0,1,1,0,1
DEMPHOLOOH,CCC12OOC(CC)(C=C(C)C2(O)OO)C1O,0,0,0,2,1,0,0,0,0,0
C6PAN23,CCCCC(O)C(=O)OON(=O)=O,0,0,0,1,0,0,1,1,0,1
C6PAN22,CCCC(O)CC(=O)OON(=O)=O,0,0,0,1,0,0,1,1,0,1
HO13C5O2,OCCC(O)C(C)O[O],1,0,0,1,0,0,0,0,0,0
EBZMUCOOH,CCC(=O)C(OO)C(O)C1OC1C=O,0,0,0,1,0,0,1,0,1,0
NMETOL1O2,[O]Oc1c(CC)cc(C)cc1N(=O)=O,1,0,0,1,0,0,0,0,0,0
DMKOHOOH,OOC(C(=O)C)C(O)C(=O)C,0,0,0,1,0,1,2,0,1,0
C9M2CO6O2,CCC(=O)C=C(C)C(O[O])C(=O)CC,1,0,0,3,1,0,2,0,0,0
IPBZBPR2OH,OC1C=CC2(OOC1C2O)C(C)C,0,0,0,2,1,0,0,0,0,0
MPRK,CCCC(=O)C,0,0,0,2,0,1,1,0,0,0
NOA,CC(=O)CON(=O)=O,0,0,0,1,0,0,1,1,0,0
BIACETOOH,CC(=O)C(=O)COO,0,0,0,1,0,0,2,0,1,0
HEPTOH,CCCCC(O)CC,0,0,0,2,0,0,0,0,0,0
C6CO4MEDB,O=CC(=O)C(=C(C)C(=O)C=O)CC,0,0,0,2,0,0,2,0,0,0
ACBUONEAO,CC(=O)CC([O])OC(=O)C,0,0,1,2,0,1,2,0,0,0
PEBQONE,CCC1=CC(=O)C=CC1=O,0,0,0,1,1,0,1,0,0,0
C42OH,O=CC(O)C(O)CON(=O)=O,0,0,0,0,0,0,0,1,0,0
O1D,nan,0,0,0,0,0,0,0,0,0,0
C63NO3,CCC(=O)CC(CO)ON(=O)=O,0,0,0,1,0,0,1,1,0,0
TBOCOCH2O,[O]CC(=O)OC(C)(C)C,0,0,0,3,0,0,1,0,0,0
NPETOLO2,CCC12OOC(C(=CC2(O)O[O])C)C1ON(=O)=O,1,0,0,1,0,0,0,1,0,0
NPTLQO,O=N(=O)OC1C([O])C(=O)C=C(C)C1=O,0,0,1,1,1,0,1,0,0,0
C514OH,O=CCC(O)CC=O,0,0,0,0,0,0,0,0,0,0
C620O2,O=CCC(=O)C(O[O])CC=O,1,0,0,0,0,0,1,0,0,0
ACETC2CO2H,OC(=O)CCOC(=O)C,0,0,0,1,0,1,2,0,0,0
C917NO3,O=C1CCC(=O)C(C1)C(C)(C)ON(=O)=O,0,0,0,2,0,0,1,1,0,0
METHACETO2,CC(=O)OCO[O],1,0,0,1,0,0,1,0,0,0
C44O,O=CCC([O])C(=O)O,0,0,1,0,0,0,1,0,0,0
C620OH,O=CCC(=O)C(O)CC=O,0,0,0,0,0,0,1,0,0,0
C711O2,CC(O)(CC(=O)CO[O])CC,1,0,0,2,0,0,1,0,0,0
CNO3OCL,ClC(=O)CON(=O)=O,0,0,0,1,0,0,1,1,0,0
NEBNZOLOOH,CCC12OOC(C2ON(=O)=O)C(O)(OO)C=C1,0,0,0,1,1,0,1,1,0,0
C514O2,O=CCC(O[O])CC=O,1,0,0,0,0,0,0,0,0,0
NPETOLOH,CCC12OOC(C(=CC2(O)O)C)C1ON(=O)=O,0,0,0,1,0,0,0,1,0,0
C731OOH,OOCCC(CC=O)C(=O)C,0,0,0,1,0,1,2,0,1,0
IC3H7O,CC(C)[O],0,0,1,2,0,0,0,0,0,0
HO2C54O,CC(O)CC(C)[O],0,0,1,2,0,0,0,0,0,0
C42O2,[O]OC(CON(=O)=O)C(O)C=O,1,0,0,0,0,0,1,1,0,0
NC524OOH,OCC(ON(=O)=O)C(CO)(CO)OO,0,0,0,0,0,0,1,1,0,0
C51NO324CO,CC(=O)CC(=O)CON(=O)=O,0,0,0,1,0,0,2,1,0,0
C62NO335CO,CC(=O)CC(=O)C(C)ON(=O)=O,0,0,0,2,0,0,2,1,0,0
C1011O,CC(=O)CCC1C([O])CC1(C)C,0,0,1,3,0,0,1,0,0,0
C925OOH,OCC(CC(=O)C(=O)C)C(C)(CO)OO,0,0,0,1,0,0,2,0,0,0
H14CO23C4,OCC(=O)C(=O)CO,0,0,0,0,0,0,2,0,0,0
C624CO,CC(=C)C(=O)CCO,0,0,0,1,0,0,1,0,0,0
T124CAT1O2,[O]Oc1c(C)c(C)cc(C)c1O,1,0,0,3,0,0,0,0,0,0
CO24M3C5,CC(=O)C(C)C(=O)C,0,0,0,3,0,1,2,0,0,0
H3C2C4CO2H,OC(=O)CC(O)C(=O)C,0,0,0,1,0,1,2,0,0,0
CO2C4CHO,O=CCCC(=O)C,0,0,0,1,0,1,1,0,0,0
MIBKBOOH,OOC(C(C)C)C(=O)C,0,0,0,2,0,1,1,0,1,0
NPETLQO2,CCC1=CC(=O)C(C)(O[O])C(ON(=O)=O)C1=O,1,0,0,2,0,0,2,1,0,0
HC4CO3,CC(=C)C(C(=O)O[O])O,1,0,0,1,0,0,1,0,0,0
C6H5OOH,OOc1ccccc1,0,0,0,0,0,0,0,0,1,0
C3MDIALO,O=CC(C)([O])C=O,0,0,1,1,0,0,0,0,0,0
HEPTO2,CCCCC(CC)O[O],1,0,0,1,0,0,0,0,0,0
PXYMUCNO3,O=CC1OC1(C)C(O)C(ON(=O)=O)C(=O)C,0,0,0,2,0,1,2,1,0,0
H13C43CO3,OCCC(C)(O)C(=O)O[O],1,1,0,1,0,0,1,0,0,0
CHOC4PAN,O=CCCCCC(=O)OON(=O)=O,0,0,0,0,0,0,1,1,0,1
C624NO3,[O-][N+](=O)OC(CCO)C(=C)C,0,0,0,1,0,0,0,0,0,0
CO25C74OOH,OOC(CC(=O)C)C(=O)CC,0,0,0,1,0,0,2,0,1,0
C514O,O=CCC([O])CC=O,0,0,1,0,0,0,0,0,0,0
C1010OOH,O=CCCC(=C)C(=O)CC(C)(C)OO,0,0,0,2,0,0,1,0,0,0
DIIPRETOH,CC(C)OC(C)(C)O,0,0,0,4,0,0,0,0,0,0
ME2BUOLO,CC(O)C(C)(C)[O],0,0,1,3,0,0,0,0,0,0
C4MCODBCO2,CC(=O)C=C(C)C(=O)[O],0,0,0,2,1,0,2,0,0,0
C4MCODBCO3,CC(=CC(=O)C)C(=O)O[O],1,1,0,1,0,0,2,0,0,0
C46PAN,[O-][N+](=O)OOC(=O)C(=C)CCO,0,0,0,0,0,0,1,0,0,1
TMB2FUOOH,OOC1(C)C(=O)OC(C)C1(C)O,0,0,0,3,0,0,1,0,1,0
MIBKHO4O,[O]CC(=O)CC(C)(C)O,0,0,0,2,0,0,1,0,0,0
CL2OHCH2O,[O]CC(O)(Cl)Cl,0,0,0,0,0,0,0,0,0,0
H3C25CCO3H,OOC(=O)CC(=O)CC(O)C(=O)C,0,0,0,1,0,1,3,0,1,0
ETBEAOH,CCOC(C)(C)CO,0,0,0,3,0,0,0,0,0,0
C126NO3,O=CCC1C(CC1(C)C)C(=C)CCO[N+](=O)[O-],0,0,0,1,0,0,0,0,0,0
ETBEAO2,CCOC(C)(C)CO[O],1,0,0,3,0,0,0,0,0,0
HM22C4O,[O]CCC(C)(C)CO,0,0,0,2,0,0,0,0,0,0
C823OOH,OOCC(CCC(=O)O)C(=C)C,0,0,0,1,0,0,1,0,1,0
C616O2,O=CCCC(=O)C(O[O])C=O,1,0,0,0,0,0,1,0,0,0
C88OOH,OOC1C(=O)CCC(=O)C1(C)C,0,0,0,2,0,0,2,0,1,0
C1013CO2H,COC(=O)CCC1C(CC1(C)C)C(=O)O,0,0,0,2,0,0,2,0,0,0
DIIPRETO2,[O]OC(C)(C)OC(C)C,1,0,0,4,0,0,0,0,0,0
M2BKAOOH,OOC(C)C(C)C(=O)C,0,0,0,3,0,1,1,0,1,0
MMALANHY,O=C1C=C(C)C(=O)O1,0,0,0,1,1,0,1,0,0,0
C312COCO3H,OOC(=O)CC(=O)C=O,0,0,0,0,0,0,2,0,1,0
MEK2OO,[O-][O+]=C(C)C(=O)C,0,0,0,2,0,1,1,0,0,0
C7EDCOOH,OOC(C(=O)C)C(O)C(=O)CC,0,0,0,1,0,0,2,0,1,0
NMXYQO2,[O]OC1(C)C(ON(=O)=O)C(=O)C=C(C)C1=O,1,0,0,2,1,0,2,1,0,0
PXYL1O2,[O]Oc1ccc(C)cc1,1,0,0,1,0,0,0,0,0,0
C827OOH,OOC(C)(C)C(=O)CCC(=O)C,0,0,0,3,0,1,2,0,1,0
NDNPBZLOOH,CCCC12OOC(C=C(N(=O)=O)C2(O)OO)(N(=O)=O)C1ON(=O)=O,0,0,0,1,1,0,2,1,0,0
CO23C5,CCC(=O)C(=O)C,0,0,0,2,0,1,2,0,0,0
CO23C6,CCCC(=O)C(=O)C,0,0,0,2,0,1,2,0,0,0
TOL1O,Cc1ccccc1[O],0,0,0,1,0,0,0,0,0,0
CH3SOO2,CS(=O)O[O],1,0,0,1,0,0,0,0,0,0
IPROPOLPER,OOC(=O)C(C)O,0,0,0,1,0,0,1,0,1,0
NDNPETLOOH,CCC12OOC(N(=O)=O)(C(=C(N(=O)=O)C2(O)OO)C)C1ON(=O)=O,0,0,0,1,0,0,1,1,0,0
C61O,CC(=O)CC([O])C(C)O,0,0,1,2,0,0,1,0,0,0
C3NO3COOOH,OOCC(=O)CON(=O)=O,0,0,0,0,0,0,1,1,1,0
C1312O,O=CCCC(=C)C(=O)CC(C)(C)C([O])CCO,0,0,1,2,0,0,1,0,0,0
PROL1MCO3,CC(O)(CC)C(=O)O[O],1,1,0,1,0,0,1,0,0,0
CH3CHOHCHO,CC(O)C=O,0,0,0,1,0,0,0,0,0,0
C78O,CC(=O)C([O])CC(C)(C)O,0,0,1,3,0,0,1,0,0,0
MNO3COC4O,CCC([O])CC(=O)CON(=O)=O,0,0,1,1,0,0,1,1,0,0
BZEMUCCO3H,OOC(=O)C1OC1C=CC=O,0,0,0,0,1,0,1,0,1,0
MACRNB,O=CC(C)(O)CON(=O)=O,0,0,0,1,0,0,0,1,0,0
COHM2CO3H,CC(O)(C=O)C(=O)OO,0,0,0,1,0,0,1,0,0,0
TL4OHNO2O2,[O]OC1(O)C(=CC2(C)OOC1C2O)N(=O)=O,1,0,0,1,0,0,0,0,0,0
PHIC3O,CC(C)([O])c1ccccc1,0,0,1,2,0,0,0,0,0,0
OTNCATECO,CCC1=C(O)C([O])(O)C2(OOC1(C)C2O)N(=O)=O,0,0,1,2,0,0,0,0,0,0
OTNCATECH,CCc1c(C)cc(N(=O)=O)c(O)c1O,0,0,0,2,0,0,1,0,0,0
DM124O,[O]c1ccc(C)c(C)c1,0,0,0,2,0,0,0,0,0,0
PTCATEC1O,CCc1ccc(C)c(O)c1[O],0,0,0,2,0,0,0,0,0,0
DMMBO2,COC(OC)O[O],1,0,0,1,0,0,0,0,0,0
MTBKNO3,O=N(=O)OCC(C)(C)C(=O)C,0,0,0,3,0,1,1,0,0,0
NISOPNO3,CC(=CCON(=O)=O)CON(=O)=O,0,0,0,1,0,0,1,2,0,0
HNC524CO,OCC(ON(=O)=O)C(O)(CO)C=O,0,0,0,0,0,0,1,1,0,0
C720O,CC1=CCC([O])CC1O,0,0,1,1,0,0,0,0,0,0
C139NO3,OCCC(=C)C1(OO[N+](=O)[O-])CC(C)(C)C1CCC(=O)O,0,0,0,2,0,0,1,0,0,0
H3M3C5CHO,CC(O)(CCC=O)CC,0,0,0,2,0,0,1,0,0,0
C5ONO34OOH,OOC(C)C(ON(=O)=O)C(=O)C,0,0,0,2,0,1,2,1,1,0
IPECO,CCC(C)(C)[O],0,0,1,3,0,0,0,0,0,0
IPROACET,CC(C)OC(=O)C,0,0,0,3,0,1,1,0,0,0
HODMSO2,[O]OS(C)(C)O,1,0,0,2,0,0,0,0,0,0
NMXYOL1O2,[O]Oc1c(C)cc(C)cc1N(=O)=O,1,0,0,2,0,0,0,0,0,0
METLOBPROH,CCC12OOC(C)(C=CC1=O)C2O,0,0,0,2,1,0,1,0,0,0
DMMBOH,COC(O)OC,0,0,0,2,0,0,0,0,0,0
NPHENOOH,OOC1(O)C=CC2OOC1C2ON(=O)=O,0,0,0,0,1,0,0,1,1,0
SBUACONEO,CC(=O)OC(C)([O])C(=O)C,0,0,1,3,0,1,2,0,0,0
HO1C3O2,OCCCO[O],1,0,0,0,0,0,0,0,0,0
C57NO3,OCC(O)C(C)(C=O)ON(=O)=O,0,0,0,1,0,0,1,1,0,0
C1313NO3,O=CCCC(CO)(O[N+](=O)[O-])C1CC(C)(C)C1CC=O,0,0,0,2,0,0,0,0,0,0
HEXBOH,CCCCC(C)O,0,0,0,2,0,0,0,0,0,0
M3HEXAO2,CCC(C)CC(C)O[O],1,0,0,3,0,0,0,0,0,0
ETOHOCHO,OCCOC=O,0,0,0,0,0,0,0,0,0,0
C51CO2H,OC(=O)CC(C)C(=O)C,0,0,0,2,0,1,2,0,0,0
C117NO3,OCCC(=O)C1(O[N+](=O)[O-])CC(C)(C)C1CC=O,0,0,0,2,0,0,1,0,0,0
C112O,CCCCCCC(O)CC(=O)C(C)[O],0,0,1,2,0,0,1,0,0,0
BCALBCO,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)C=O,0,0,0,2,0,0,1,0,0,0
IPBZMUCOH,O=CC1OC1C(O)C(O)C(=O)C(C)C,0,0,0,2,0,0,1,0,0,0
C9M2CO6OH,CCC(=O)C=C(C)C(O)C(=O)CC,0,0,0,3,1,0,2,0,0,0
H3M3C5NO3,CCC(C)(O)CCON(=O)=O,0,0,0,2,0,0,0,1,0,0
C152OOH,O=CCCC(CO)(OO)C1CC(C)(C)C1CCC(=O)OC,0,0,0,3,0,0,1,0,0,0
CO235C6CHO,O=CCC(=O)CC(=O)C(=O)C,0,0,0,1,0,1,3,0,0,0
NPHENO,O=N(=O)OC1C2OOC1C([O])(O)C=C2,0,0,1,0,1,0,0,0,0,0
C3PAN2,O=CCC(=O)OON(=O)=O,0,0,0,0,0,0,1,1,0,1
C3PAN1,OCCC(=O)OON(=O)=O,0,0,0,0,0,0,1,1,0,1
IPBZMUCO2,O=CC1OC1C(O)C(O[O])C(=O)C(C)C,1,0,0,2,0,0,1,0,0,0
NBUTOLBO,OCCC(C)[O],0,0,1,1,0,0,0,0,0,0
HO13C3CO3H,OCCC(O)C(=O)OO,0,0,0,0,0,0,1,0,0,0
PE1ENEBO2,CCCC(O)CO[O],1,0,0,1,0,0,0,0,0,0
C82OOH,CCC(=O)CC(OO)C(O)CC,0,0,0,2,0,0,1,0,1,0
HEXBO2,CC(CCCC)O[O],1,0,0,1,0,0,0,0,0,0
M3HEXAOH,CCC(C)CC(C)O,0,0,0,3,0,0,0,0,0,0
C716OOH,O=CCC(=O)CC(OO)C(=O)C,0,0,0,1,0,1,2,0,1,0
HMVKBO,CC(=O)C([O])CO,0,0,1,1,0,0,1,0,0,0
C83COOHOOH,CCCC(=O)C(OO)C(O)C(=O)C=O,0,0,0,1,0,0,2,0,1,0
CH3NO3,CON(=O)=O,0,0,0,1,0,0,0,1,0,0
EPXMC4DIAL,O=CC1OC1(C)C=O,0,0,0,1,0,0,0,0,0,0
MTBEBOH,OCC(C)(C)OC,0,0,0,3,0,0,0,0,0,0
HMVKANO3,O=N(=O)OCC(O)C(=O)C,0,0,0,1,0,1,1,0,0,0
CO2OH3MPAN,O=N(=O)OOC(=O)C(C)(O)C(=O)C,0,0,0,2,0,1,2,0,0,0
NC4IPDCO2,O=CC(=C(C(C)C)C(=O)[O])N(=O)=O,0,0,0,1,0,0,1,0,0,0
HOACETETO2,[O]OC(C)OC(=O)CO,1,0,0,1,0,0,1,0,0,0
C151OH,OCC(O)(CCC(=O)O)C1CC(C)(C)C1CCC(=O)C,0,0,0,3,0,1,2,0,0,0
C151O2,OCC(O[O])(CCC(=O)O)C1CC(C)(C)C1CCC(=O)C,1,0,0,3,0,1,2,0,0,0
ISOPCO2,[O]OC/C(=C/CO)/C,1,0,0,1,0,0,0,0,0,0
NC4OHCO3,[O]OC(=O)C(ON(=O)=O)C(C)(C)O,1,0,0,2,0,0,2,1,0,0
C629OOH,OCCC(OO)(C=O)C(=O)C,0,0,0,1,0,1,2,0,1,0
BPINBO2,[O]OCC1(O)CCC2CC1C2(C)C,1,0,0,2,0,0,0,0,0,0
MIBKCOOHO2,CC(O)(CO[O])C(=O)C(=O)C,1,0,0,2,0,1,2,0,0,0
H2M2C4CO2H,OC(=O)CCC(C)(C)O,0,0,0,2,0,0,1,0,0,0
C134O,OCCC(=O)C(=O)C([O])C(C)(C)C(=O)CCC(=O)C,0,0,1,3,0,1,4,0,0,0
C817CO3,[O]OC(=O)CC(CCC(=O)C)C(=O)C,1,0,0,1,0,1,3,0,0,0
MTBEBO2,[O]OCC(C)(C)OC,1,0,0,3,0,0,0,0,0,0
C917O,O=C1CCC(=O)C(C1)C(C)(C)[O],0,0,1,2,0,0,1,0,0,0
ACPRONEOH,CC(=O)OC(O)C(=O)C,0,0,0,2,0,1,2,0,0,0
DMC,COC(=O)OC,0,0,0,2,0,0,1,0,0,0
C920CO3H,OOC(=O)CC1CC(C(=O)CO)C1(C)C,0,0,0,2,0,0,2,0,1,0
LIMCOH,OCC(C)(O)C1CCC(=CC1)C,0,0,0,2,0,0,0,0,0,0
IPRBQONE,O=C1C=CC(=O)C(=C1)C(C)C,0,0,0,2,1,0,1,0,0,0
MO2EOLB2OH,OCOCCO,0,0,0,0,0,0,0,0,0,0
C7M3CO,CC(=O)C=C(C)C(=O)C(=O)C,0,0,0,3,1,1,3,0,0,0
DMM,COCOC,0,0,0,2,0,0,0,0,0,0
DMS,CSC,0,0,0,2,0,0,0,0,0,0
C6PAN20,O=N(=O)OOC(=O)CC(O)C(C)C,0,0,0,2,0,0,1,0,0,0
C71O2,CCC(O)CC(=O)C(C)O[O],1,0,0,2,0,0,1,0,0,0
PXYFUOOH,OOC1(C)C(O)COC1=O,0,0,0,1,0,0,0,0,1,0
C735OOA,O=CCC(CC=O)C(=[O+][O-])C,0,0,0,1,0,0,1,0,0,0
MO2EOLBO,[O]COCCO,0,0,0,0,0,0,0,0,0,0
C735OOH,O=CCC(OO)(CC=O)C(=O)C,0,0,0,1,0,1,2,0,1,0
ACPRONEO2,[O]OC(OC(=O)C)C(=O)C,1,0,0,1,0,1,2,0,0,0
CATEC1O,[O]c1ccccc1O,0,0,0,0,0,0,0,0,0,0
LIMCO2,OCC(C)(O[O])C1CCC(=CC1)C,1,0,0,2,0,0,0,0,0,0
C8M2CO6OH,CCC(=O)C=C(C)C(O)C(=O)C,0,0,0,3,1,1,2,0,0,0
TM123BO,[O]Cc1cccc(C)c1C,0,0,0,2,0,0,0,0,0,0
PETCATECH,CCc1ccc(C)c(O)c1O,0,0,0,2,0,0,0,0,0,0
CO25C6CO2H,CC(=O)CCC(=O)CC(=O)O,0,0,0,1,0,0,3,0,0,0
NDNT124LO,O=N(=O)OC1(C)C2(OOC1(C)C([O])(O)C(=C2C)N(=O)=O)N(=O)=O,0,0,1,2,0,0,0,0,0,0
PETLMUCO2H,CC1(OC1C(=O)O)C=CC(=O)CC,0,0,0,2,1,0,2,0,0,0
C88PAN,O=N(=O)OOC(=O)C1C(=O)CCC(=O)C1(C)C,0,0,0,2,0,0,3,0,0,0
BIACETO,CC(=O)C(=O)C[O],0,0,0,1,0,0,2,0,0,0
ACEC2CHO,O=CCCOC(=O)C,0,0,0,1,0,1,1,0,0,0
C822PAN,O=CCC(CCC(=O)OO[N+](=O)[O-])C(=C)C,0,0,0,1,0,0,1,0,0,1
C89NO3,O=CCC1CC(ON(=O)=O)C1(C)C,0,0,0,2,0,0,1,1,0,0
C720OH,CC1=CCC(O)CC1O,0,0,0,1,0,0,0,0,0,0
C121OOH,CCCCCCCC(OO)CC(=O)CC,0,0,0,2,0,0,1,0,1,0
BCALBOOH,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)COO,0,0,0,2,0,0,1,0,1,0
C5MDICARB,O=CC(=CC(=O)C)C,0,0,0,1,0,0,1,0,0,0
C720O2,[O]OC1CC=C(C)C(O)C1,1,0,0,1,1,0,0,0,0,0
MCATECHOL,Oc1c(C)cccc1O,0,0,0,1,0,0,0,0,0,0
C1011CO3H,OOC(=O)C1CC(C)(C)C1CCC(=O)C,0,0,0,3,0,1,2,0,1,0
C617PAN,O=CC(C)(C)C(=O)CC(=O)OON(=O)=O,0,0,0,2,0,0,2,1,0,1
PENT1ENE,CCCC=C,0,0,0,2,0,0,0,0,0,0
PGAOOB,[O-][O+]=CCOO,0,0,0,0,0,0,0,0,1,0
LIMALACO,O=CCC(CC(=O)C(=O)C)C(=C)C,0,0,0,1,0,0,2,0,0,0
C8M2CO6O2,[O]OC(C(=O)C)C(=CC(=O)CC)C,1,0,0,1,0,0,2,0,0,0
MOCOCH2OOH,OOCC(=O)OC,0,0,0,1,0,0,1,0,1,0
HO1C5OOH,OCCCC(C)OO,0,0,0,1,0,0,0,0,0,0
NC623O,OCC(C=O)C(C)([O])CO[N+](=O)[O-],0,0,1,1,0,0,1,0,0,0
LIMBOOH,OOC1CC(CCC1(C)O)C(=C)C,0,0,0,2,0,0,0,0,1,0
CH3SCH2O,CSC[O],0,0,0,1,0,0,0,0,0,0
CHOC4CO3H,O=CCCCCC(=O)OO,0,0,0,0,0,0,1,0,0,0
C733OOH,OCCC(C(=O)C)C(OO)C=O,0,0,0,0,0,0,1,0,1,0
C78O2,[O]OC(CC(C)(C)O)C(=O)C,1,0,0,3,0,1,1,0,0,0
C815CO2OOH,CCCC(=O)C=CC(OO)C=O,0,0,0,1,1,0,1,0,1,0
MC3CODBCO3,CC(=CC=O)C(=O)O[O],1,1,0,1,0,0,1,0,0,0
MC3CODBCO2,O=CC=C(C)C(=O)[O],0,0,0,1,1,0,1,0,0,0
H2M3C4O,[O]CC(C)C(C)O,0,0,0,2,0,0,0,0,0,0
C42O,O=CC(O)C([O])CON(=O)=O,0,0,1,0,0,0,0,1,0,0
C918CO3H,OOC(=O)C1(O)CCC2CC1C2(C)C,0,0,0,2,0,0,1,0,1,0
DM23BU2ENE,CC(=C(C)C)C,0,0,0,3,0,0,0,0,0,0
ETBEANO3,CCOC(C)(C)CON(=O)=O,0,0,0,3,0,0,0,1,0,0
HO2C6OOH,OOC(C)CCC(C)O,0,0,0,2,0,0,0,0,1,0
C78OH,CC(=O)C(O)CC(C)(C)O,0,0,0,3,0,0,1,0,0,0
NOPINCO,O=C1CCC2([O])CC1C2(C)C,0,0,1,2,0,0,0,0,0,0
DNPHEN,O=N(=O)c1ccc(O)c(c1)N(=O)=O,0,0,0,0,0,0,1,0,0,0
TM135BPNO3,O=N(=O)OC1C(=CC2(C)OOC1(C)C2O)C,0,0,0,3,0,0,0,0,0,0
MIBKAOH3CO,CC(=O)C(=O)C(C)(C)O,0,0,0,3,0,0,2,0,0,0
MXYBIPERO,[O]C1C=CC2(C)OOC1(C)C2O,0,0,0,2,1,0,0,0,0,0
HO3C6O,[O]CCCC(O)CC,0,0,0,1,0,0,0,0,0,0
M33C4O2,[O]OCC(C)(C)CC,1,0,0,3,0,0,0,0,0,0
MPRBNO3O2,[O]OCC(C)(C)ON(=O)=O,1,0,0,2,0,0,0,1,0,0
C84O2,CCC(=O)CC(O[O])C(=O)CC,1,0,0,2,0,0,2,0,0,0
NC41OOA,OC(C(=[O+][O-])C)CON(=O)=O,0,0,0,0,0,0,0,1,0,0
PECO,CCC([O])CC,0,0,1,2,0,0,0,0,0,0
DMKOHO,CC(=O)C([O])C(O)C(=O)C,0,0,1,2,0,1,2,0,0,0
EOX2ETCHO,CCOCC=O,0,0,0,1,0,0,0,0,0,0
C617CO2H,O=CC(C)(C)C(=O)CC(=O)O,0,0,0,2,0,0,2,0,0,0
CHCL2OOH,OOC(Cl)Cl,0,0,0,0,0,0,0,0,1,0
