,name,PAN,Carb. Acid,Ester,Ether,Per. Acid,Hydro peroxide,Nitrate,Aldehyde,Ketone,Alcohol,Criegee,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,nogroups,smiles
32,ME3BU2OLO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[O]CC(O)C(C)C
33,CLOHCO3H,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,OOC(=O)C(O)Cl
34,BOXCOCOME,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,CCCCOC(=O)C(=O)C
35,MALDIAL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,O=CC=CC=O
36,C6PAN21,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,CCC(C)(O)CC(=O)OON(=O)=O
37,DEMPHOLOOH,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,CCC12OOC(CC)(C=C(C)C2(O)OO)C1O
38,C6PAN23,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,CCCCC(O)C(=O)OON(=O)=O
39,C6PAN22,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,CCCC(O)CC(=O)OON(=O)=O
40,HO13C5O2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,OCCC(O)C(C)O[O]
41,EBZMUCOOH,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,CCC(=O)C(OO)C(O)C1OC1C=O
42,NMETOL1O2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[O]Oc1c(CC)cc(C)cc1N(=O)=O
43,DMKOHOOH,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,OOC(C(=O)C)C(O)C(=O)C
44,C9M2CO6O2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,CCC(=O)C=C(C)C(O[O])C(=O)CC
45,IPBZBPR2OH,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,OC1C=CC2(OOC1C2O)C(C)C
46,MPRK,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CCCC(=O)C
47,NOA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,CC(=O)CON(=O)=O
48,BIACETOOH,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,CC(=O)C(=O)COO
49,HEPTOH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CCCCC(O)CC
50,C6CO4MEDB,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,O=CC(=O)C(=C(C)C(=O)C=O)CC
51,ACBUONEAO,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,CC(=O)CC([O])OC(=O)C
52,PEBQONE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,CCC1=CC(=O)C=CC1=O
53,C42OH,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,O=CC(O)C(O)CON(=O)=O
54,O1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,C63NO3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,CCC(=O)CC(CO)ON(=O)=O
56,TBOCOCH2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[O]CC(=O)OC(C)(C)C
57,NPETOLO2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,CCC12OOC(C(=CC2(O)O[O])C)C1ON(=O)=O
58,NPTLQO,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,O=N(=O)OC1C([O])C(=O)C=C(C)C1=O
59,C514OH,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,O=CCC(O)CC=O
60,C620O2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,O=CCC(=O)C(O[O])CC=O
61,ACETC2CO2H,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,OC(=O)CCOC(=O)C
62,C917NO3,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,O=C1CCC(=O)C(C1)C(C)(C)ON(=O)=O
63,METHACETO2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,CC(=O)OCO[O]
64,C44O,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,O=CCC([O])C(=O)O
65,C620OH,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,O=CCC(=O)C(O)CC=O
66,C711O2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,CC(O)(CC(=O)CO[O])CC
67,CNO3OCL,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,ClC(=O)CON(=O)=O
68,NEBNZOLOOH,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,CCC12OOC(C2ON(=O)=O)C(O)(OO)C=C1
69,C514O2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,O=CCC(O[O])CC=O
70,NPETOLOH,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,CCC12OOC(C(=CC2(O)O)C)C1ON(=O)=O
71,C731OOH,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,OOCCC(CC=O)C(=O)C
72,IC3H7O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CC(C)[O]
73,HO2C54O,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CC(O)CC(C)[O]
74,C42O2,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,[O]OC(CON(=O)=O)C(O)C=O
75,NC524OOH,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,OCC(ON(=O)=O)C(CO)(CO)OO
76,C51NO324CO,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,CC(=O)CC(=O)CON(=O)=O
77,C62NO335CO,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,CC(=O)CC(=O)C(C)ON(=O)=O
78,C1011O,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,CC(=O)CCC1C([O])CC1(C)C
79,C925OOH,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,OCC(CC(=O)C(=O)C)C(C)(CO)OO
80,H14CO23C4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,OCC(=O)C(=O)CO
81,C624CO,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,CC(=C)C(=O)CCO
82,T124CAT1O2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,[O]Oc1c(C)c(C)cc(C)c1O
83,CO24M3C5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,CC(=O)C(C)C(=O)C
84,H3C2C4CO2H,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,OC(=O)CC(O)C(=O)C
85,CO2C4CHO,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,O=CCCC(=O)C
86,MIBKBOOH,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,OOC(C(C)C)C(=O)C
87,NPETLQO2,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,CCC1=CC(=O)C(C)(O[O])C(ON(=O)=O)C1=O
88,HC4CO3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CC(=C)C(C(=O)O[O])O
89,C6H5OOH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,OOc1ccccc1
90,C3MDIALO,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,O=CC(C)([O])C=O
91,HEPTO2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CCCCC(CC)O[O]
92,PXYMUCNO3,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,O=CC1OC1(C)C(O)C(ON(=O)=O)C(=O)C
93,H13C43CO3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,OCCC(C)(O)C(=O)O[O]
94,CHOC4PAN,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,O=CCCCCC(=O)OON(=O)=O
95,C624NO3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[O-][N+](=O)OC(CCO)C(=C)C
96,CO25C74OOH,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,OOC(CC(=O)C)C(=O)CC
97,C514O,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,O=CCC([O])CC=O
98,C1010OOH,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,O=CCCC(=C)C(=O)CC(C)(C)OO
99,DIIPRETOH,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,CC(C)OC(C)(C)O
100,ME2BUOLO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CC(O)C(C)(C)[O]
101,C4MCODBCO2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,CC(=O)C=C(C)C(=O)[O]
102,C4MCODBCO3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,CC(=CC(=O)C)C(=O)O[O]
103,C46PAN,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,[O-][N+](=O)OOC(=O)C(=C)CCO
104,TMB2FUOOH,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,OOC1(C)C(=O)OC(C)C1(C)O
105,MIBKHO4O,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,[O]CC(=O)CC(C)(C)O
106,CL2OHCH2O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[O]CC(O)(Cl)Cl
107,H3C25CCO3H,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,OOC(=O)CC(=O)CC(O)C(=O)C
108,ETBEAOH,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,CCOC(C)(C)CO
109,C126NO3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,O=CCC1C(CC1(C)C)C(=C)CCO[N+](=O)[O-]
110,ETBEAO2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,CCOC(C)(C)CO[O]
111,HM22C4O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[O]CCC(C)(C)CO
112,C823OOH,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,OOCC(CCC(=O)O)C(=C)C
113,C616O2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,O=CCCC(=O)C(O[O])C=O
114,C88OOH,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,OOC1C(=O)CCC(=O)C1(C)C
115,C1013CO2H,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,COC(=O)CCC1C(CC1(C)C)C(=O)O
116,DIIPRETO2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,[O]OC(C)(C)OC(C)C
117,M2BKAOOH,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,OOC(C)C(C)C(=O)C
118,MMALANHY,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,O=C1C=C(C)C(=O)O1
119,C312COCO3H,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,OOC(=O)CC(=O)C=O
120,MEK2OO,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,[O-][O+]=C(C)C(=O)C
121,C7EDCOOH,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,OOC(C(=O)C)C(O)C(=O)CC
122,NMXYQO2,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,[O]OC1(C)C(ON(=O)=O)C(=O)C=C(C)C1=O
123,PXYL1O2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[O]Oc1ccc(C)cc1
124,C827OOH,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,OOC(C)(C)C(=O)CCC(=O)C
125,NDNPBZLOOH,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,CCCC12OOC(C=C(N(=O)=O)C2(O)OO)(N(=O)=O)C1ON(=O)=O
126,CO23C5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CCC(=O)C(=O)C
127,CO23C6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CCCC(=O)C(=O)C
128,TOL1O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cc1ccccc1[O]
129,CH3SOO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS(=O)O[O]
130,IPROPOLPER,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,OOC(=O)C(C)O
131,NDNPETLOOH,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,CCC12OOC(N(=O)=O)(C(=C(N(=O)=O)C2(O)OO)C)C1ON(=O)=O
132,C61O,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,CC(=O)CC([O])C(C)O
133,C3NO3COOOH,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,OOCC(=O)CON(=O)=O
134,C1312O,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,O=CCCC(=C)C(=O)CC(C)(C)C([O])CCO
135,PROL1MCO3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,CC(O)(CC)C(=O)O[O]
136,CH3CHOHCHO,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,CC(O)C=O
137,C78O,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,CC(=O)C([O])CC(C)(C)O
138,MNO3COC4O,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,CCC([O])CC(=O)CON(=O)=O
139,BZEMUCCO3H,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,OOC(=O)C1OC1C=CC=O
140,MACRNB,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,O=CC(C)(O)CON(=O)=O
141,COHM2CO3H,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,CC(O)(C=O)C(=O)OO
142,TL4OHNO2O2,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,[O]OC1(O)C(=CC2(C)OOC1C2O)N(=O)=O
143,PHIC3O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CC(C)([O])c1ccccc1
144,OTNCATECO,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,CCC1=C(O)C([O])(O)C2(OOC1(C)C2O)N(=O)=O
145,OTNCATECH,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,CCc1c(C)cc(N(=O)=O)c(O)c1O
146,DM124O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[O]c1ccc(C)c(C)c1
147,PTCATEC1O,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CCc1ccc(C)c(O)c1[O]
148,DMMBO2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,COC(OC)O[O]
149,MTBKNO3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,O=N(=O)OCC(C)(C)C(=O)C
150,NISOPNO3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,CC(=CCON(=O)=O)CON(=O)=O
151,HNC524CO,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,OCC(ON(=O)=O)C(O)(CO)C=O
152,C720O,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CC1=CCC([O])CC1O
153,C139NO3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,OCCC(=C)C1(OO[N+](=O)[O-])CC(C)(C)C1CCC(=O)O
154,H3M3C5CHO,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,CC(O)(CCC=O)CC
155,C5ONO34OOH,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,OOC(C)C(ON(=O)=O)C(=O)C
156,IPECO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CCC(C)(C)[O]
157,IPROACET,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,CC(C)OC(=O)C
158,HODMSO2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[O]OS(C)(C)O
159,NMXYOL1O2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[O]Oc1c(C)cc(C)cc1N(=O)=O
160,METLOBPROH,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,CCC12OOC(C)(C=CC1=O)C2O
161,DMMBOH,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,COC(O)OC
162,NPHENOOH,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,OOC1(O)C=CC2OOC1C2ON(=O)=O
163,SBUACONEO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CC(=O)OC(C)([O])C(=O)C
164,HO1C3O2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,OCCCO[O]
165,C57NO3,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,OCC(O)C(C)(C=O)ON(=O)=O
166,C1313NO3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,O=CCCC(CO)(O[N+](=O)[O-])C1CC(C)(C)C1CC=O
167,HEXBOH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CCCCC(C)O
168,M3HEXAO2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,CCC(C)CC(C)O[O]
169,ETOHOCHO,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,OCCOC=O
170,C51CO2H,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,OC(=O)CC(C)C(=O)C
171,C117NO3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,OCCC(=O)C1(O[N+](=O)[O-])CC(C)(C)C1CC=O
172,C112O,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,CCCCCCC(O)CC(=O)C(C)[O]
173,BCALBCO,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,O=CCCC(=C)C1CC(C)(C)C1CCC(=O)C=O
174,IPBZMUCOH,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,O=CC1OC1C(O)C(O)C(=O)C(C)C
175,C9M2CO6OH,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,CCC(=O)C=C(C)C(O)C(=O)CC
176,H3M3C5NO3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,CCC(C)(O)CCON(=O)=O
177,C152OOH,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,O=CCCC(CO)(OO)C1CC(C)(C)C1CCC(=O)OC
178,CO235C6CHO,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,O=CCC(=O)CC(=O)C(=O)C
179,NPHENO,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,O=N(=O)OC1C2OOC1C([O])(O)C=C2
180,C3PAN2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,O=CCC(=O)OON(=O)=O
181,C3PAN1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,OCCC(=O)OON(=O)=O
182,IPBZMUCO2,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,O=CC1OC1C(O)C(O[O])C(=O)C(C)C
183,NBUTOLBO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,OCCC(C)[O]
184,HO13C3CO3H,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,OCCC(O)C(=O)OO
185,PE1ENEBO2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,CCCC(O)CO[O]
186,C82OOH,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,CCC(=O)CC(OO)C(O)CC
187,HEXBO2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CC(CCCC)O[O]
188,M3HEXAOH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CCC(C)CC(C)O
189,C716OOH,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,O=CCC(=O)CC(OO)C(=O)C
190,HMVKBO,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,CC(=O)C([O])CO
191,C83COOHOOH,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,CCCC(=O)C(OO)C(O)C(=O)C=O
192,CH3NO3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,CON(=O)=O
193,EPXMC4DIAL,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,O=CC1OC1(C)C=O
194,MTBEBOH,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,OCC(C)(C)OC
195,HMVKANO3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,O=N(=O)OCC(O)C(=O)C
196,CO2OH3MPAN,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,O=N(=O)OOC(=O)C(C)(O)C(=O)C
197,NC4IPDCO2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,O=CC(=C(C(C)C)C(=O)[O])N(=O)=O
198,HOACETETO2,0,1,1,1,0,0,0,0,1,2,0,0,1,0,0,[O]OC(C)OC(=O)CO
199,C151OH,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,OCC(O)(CCC(=O)O)C1CC(C)(C)C1CCC(=O)C
200,C151O2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,OCC(O[O])(CCC(=O)O)C1CC(C)(C)C1CCC(=O)C
201,ISOPCO2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,[O]OC/C(=C/CO)/C
202,NC4OHCO3,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,[O]OC(=O)C(ON(=O)=O)C(C)(C)O
203,C629OOH,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,OCCC(OO)(C=O)C(=O)C
204,BPINBO2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,[O]OCC1(O)CCC2CC1C2(C)C
205,MIBKCOOHO2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,CC(O)(CO[O])C(=O)C(=O)C
206,H2M2C4CO2H,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,OC(=O)CCC(C)(C)O
207,C134O,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,OCCC(=O)C(=O)C([O])C(C)(C)C(=O)CCC(=O)C
208,C817CO3,0,1,1,0,0,0,0,0,3,0,0,0,1,0,0,[O]OC(=O)CC(CCC(=O)C)C(=O)C
209,MTBEBO2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,[O]OCC(C)(C)OC
210,C917O,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,O=C1CCC(=O)C(C1)C(C)(C)[O]
211,ACPRONEOH,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,CC(=O)OC(O)C(=O)C
212,DMC,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,COC(=O)OC
213,C920CO3H,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,OOC(=O)CC1CC(C(=O)CO)C1(C)C
214,LIMCOH,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,OCC(C)(O)C1CCC(=CC1)C
215,IPRBQONE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,O=C1C=CC(=O)C(=C1)C(C)C
216,MO2EOLB2OH,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,OCOCCO
217,C7M3CO,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,CC(=O)C=C(C)C(=O)C(=O)C
218,DMM,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,COCOC
219,DMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSC
220,C6PAN20,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,O=N(=O)OOC(=O)CC(O)C(C)C
221,C71O2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,CCC(O)CC(=O)C(C)O[O]
222,PXYFUOOH,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,OOC1(C)C(O)COC1=O
223,C735OOA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,O=CCC(CC=O)C(=[O+][O-])C
224,MO2EOLBO,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,[O]COCCO
225,C735OOH,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,O=CCC(OO)(CC=O)C(=O)C
226,ACPRONEO2,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,[O]OC(OC(=O)C)C(=O)C
227,CATEC1O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[O]c1ccccc1O
